iv_588330ae	IV2604-014	INS058-PD		2026-04-20	1100000	pending						01402026	ดอยจำปี ม.7 ต.ป่าสัก อ.เชียงแสน จ.เชียงราย (6901-01)	00919	องค์การบริหารส่วนตำบลป่าสัก	2026-04-20	LIT	Innovatech	4.โครงการที่ต้องติดตามและมีปัญหา		21.05.2026 ได้ใบตรวจรับงานงวดเดียว 100%	AR2604-029	100	6901-01
iv_fc24ae95	IV2604-004	INS059-PD		2026-04-20	1100000	pending						01502026	บ้านป่าสักน้อย ม.13 ต.ป่าสัก อ.เชียงแสน จ.เชียงราย (6901-01)	00919	องค์การบริหารส่วนตำบลป่าสัก	2026-04-20	LIT	Innovatech	4.โครงการที่ต้องติดตามและมีปัญหา		21.05.2026 ได้ใบตรวจรับงานงวดเดียว 100%	AR2604-028	100	6901-01
iv_eccaefe6	IV2604-007	STR068-PL		2026-04-07	5395000	pending						14902025	บ้านน้ำตก ม.4 ต.ห้วยยาง อ.ทับสะแก จ.ประจวบคีรีขันธ์ (6802-01)	00902	สำนักงานจังหวัดประจวบคีรีขันธ์	2026-04-07	WTP	STR	4.โครงการที่ต้องติดตามและมีปัญหา		19.05.2026 รองผู้ว่าเซ็นเอกสารเรียบร้อยแล้ว รออำเภอนำกลับมาตรวจสอบอีกครั้ง / คุณมุก 0889814804	AR2604-007	100	6802-01
iv_85882fcb	IV2604-008	ENC165-PL		2026-04-09	5400000	pending						00102026	บ้านโนนปีบ ม.3 ต.โนนอุดม อ.เมืองยาง จ.นครราชสีมา (6801-01)	00914	องค์การบริหารส่วนตำบลโนนอุดม	2026-04-09	LIT	EN connect	4.โครงการที่ต้องติดตามและมีปัญหา		15.05.2026 เอกสารส่งเบิกจังหวัดแล้ว รอตรวจสอบ	AR2604-010	100	6801-01
iv_8b7ef9ad	IV2604-009	ENC166-PL		2026-04-09	5400000	pending						00202026	บ้านโนนขาม ม.4 ต.โนนอุดม อ.เมืองยาง จ.นครราชสีมา (6901-01)	00914	องค์การบริหารส่วนตำบลโนนอุดม	2026-04-09	LIT	EN connect	4.โครงการที่ต้องติดตามและมีปัญหา		15.05.2026 เอกสารส่งเบิกจังหวัดแล้ว รอตรวจสอบ	AR2604-011	100	6901-01
iv_3c28d110	IV2505-089	AW143-PL		2025-05-30	5400000	pending						29602024	ม.7 ต.หนองแวง อ.เกษตรวิสัย จ.ร้อยเอ็ด (6707-03)	00831	องค์การบริหารส่วนตำบลหนองแวง	2025-05-30	KTB	WTP	4.โครงการที่ต้องติดตามและมีปัญหา		29.07.2025 ติดเอกสารคำชี้แจงไปที่กรมบัญชีกลาง (ประสานพี่มินแล้ว) / คุณสิตา 062-3754452	AR2505-099	100	6707-03
iv_7080899d	IV2604-005	PP064-STIIS		2026-04-02	231525	paid						16602025	บ้านพรุกง ม.2 ต.วังใหญ่ อ.เทพา จ.สงขลา (6901-01)	00125	องค์การบริหารส่วนตำบลวังใหญ่	2026-04-02	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-05-15	07.05.2026 อยู่ระหว่างจัดทำเช็ค / คุณรัชฎา 089-289-0844	AR2604-005	1	6901-01
iv_4f3b4ac4	IV2604-015	PP072-PDH		2026-04-20	1300000	paid						01202026	โรงเรียนเทศบาลคลองท่อมใต้ ม.2 ต.คลองท่อมใต้ อ.คลองท่อม จ.กระบี่ (6901-01)	00918	เทศบาลตำบลคลองท่อมใต้	2026-04-20	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-05-20	18.05.2026 รอธนาคาร กดยืนยัน / คุณกิติสุข 0945863251	AR2604-015	100	6901-01
iv_263570f7	IV2604-016	PP073-PDH		2026-04-20	1300000	paid						01302026	ศูนย์พัฒนาเด็กเล็กเทศบาลตําบลคลองท่อมใต้ อาคาร ๑ ม.2 ต.คลองท่อมใต้ อ.คลองท่อม จ.กระบี่ (6901-01)	00918	เทศบาลตำบลคลองท่อมใต้	2026-04-20	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-05-20	18.05.2026 รอธนาคาร กดยืนยัน / คุณกิติสุข 0945863251	AR2604-016	100	6901-01
iv_dff1f497	IV2603-052	ENC164-PL		2026-03-24	3234000	paid						18502025	บ้านแม่ขิ ม.1 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ (6901-01)	00368	องค์การบริหารส่วนตำบลศรีดงเย็น	2026-03-24	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-05-05	23.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค 05.05 / คุณตรี 083-4769333	AR2603-053	2	6901-01
iv_4a422419	IV2602-038	ENC164-PL		2026-02-26	2156000	paid						18502025	บ้านแม่ขิ ม.1 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ (6901-01)	00368	องค์การบริหารส่วนตำบลศรีดงเย็น	2026-02-26	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-04-27	20.04.2026 เช็คออกแล้ว เข้ารับเช็ค 22.04 / คุณตรี 083-4769333	AR2602-037	1	6901-01
iv_616dda87	IV2603-053	ENC160-PM		2026-03-25	2040000	paid						16702025	บ้านฮ่องกอก ม.7 ต.บ่อแฮ้ว อ.เมืองลำปาง จ.ลำปาง (6901-01)	00736	องค์การบริหารส่วนตำบลบ่อแฮ้ว	2026-03-25	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-04-24	24.04.2026 เงินเข้าแล้ว / คุณเอื้อมพร 097-921-9044	AR2603-054	2	6901-01
iv_e19d1d56	IV2603-062	PP071-PDH		2026-03-27	1300000	paid						00802026	ม.7 ต.ดอนประดู่ อ.ปากพะยูน จ.พัทลุง (6901-01)	00915	เทศบาลตำบลดอนประดู่	2026-03-27	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-20	20.04.2026  เงินเข้าแล้ว	AR2603-063	100	6901-01
iv_a36815e7	IV2603-045	ENC167-PDH		2026-03-16	1100000	paid						00702026	ที่ทำการองค์การบริหารส่วนตำบลวิเชตนคร ม.1 ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง (6901-01)	00824	องค์การบริหารส่วนตำบลวิเชตนคร	2026-03-16	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-05-05	05.05.2026 รับเช็คแล้ว รอเงินเข้า / คุณอนัญญา 0835946466	AR2603-045	100	6901-01
iv_eceaefe6	IV2603-057	TTI053-STIIS		2026-03-27	3527400	paid						14802025	บ้านดงสวาง ม.6 ต.สงเปลือย อ.นามน จ.กาฬสินธุ์ (6801-01)	00179	เทศบาลตำบลสงเปลือย	2026-03-27	LIT	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-04-10	10.04.2026 เงินเข้าแล้ว	AR2603-058	2	6801-01
iv_fe685885	IV2603-047	ENC159-PLS		2026-03-13	3240000	paid						16802025	หนองแสง ม.1 ต.ศรีสว่าง อ.นาโพธิ์ จ.บุรีรัมย์ (6901-01)	00738	องค์การบริหารส่วนตำบลศรีสว่าง	2026-03-13	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-05-08	23.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค 05.05 / คุณกมลวรรณ 063-756-6243	AR2603-047	2	6901-01
iv_0ec87142	IV2603-050	STR071-PDH		2026-03-18	1100000	paid						00502026	บ้านเขาโล้น ม.9 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)	00235	องค์การบริหารส่วนตำบลวังคัน	2026-03-18	LIT	STR	5.โครงการที่รับเงินแล้วสะสม	2026-04-30	21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929	AR2603-050	100	6901-01
iv_8124c882	IV2603-049	STR070-PDH		2026-03-18	1100000	paid						00402026	บ้านกกซาง ม.8 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)	00235	องค์การบริหารส่วนตำบลวังคัน	2026-03-18	LIT	STR	5.โครงการที่รับเงินแล้วสะสม	2026-04-30	21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929	AR2603-049	100	6901-01
iv_56d998a5	IV2603-048	STR069-PDH		2026-03-18	1100000	paid						00302026	บ้านดงรัง ม.4 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)	00235	องค์การบริหารส่วนตำบลวังคัน	2026-03-18	LIT	STR	5.โครงการที่รับเงินแล้วสะสม	2026-04-30	21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929	AR2603-048	100	6901-01
iv_3bc83520	IV2603-046	TWC007-PDH		2026-03-16	1098000	paid						00902026	บ้านดู่ทุ่ง ม.2 ต.ดู่ทุ่ง อ.เมืองยโสธร จ.ยโสธร (6901-01)	00496	องค์การบริหารส่วนตำบลดู่ทุ่ง	2026-03-16	LIT	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-04-24	24.04.2026 เงินเข้าแล้ว / คุณเสาวนีย์ 0949635142	AR2603-046	100	6901-01
iv_74d62b30	IV2603-044	PP070-PDH		2026-03-17	1100000	paid						18602025	บ้านห้วยต่อ ม.1 ต.ไม้ฝาด อ.สิเกา จ.ตรัง (6901-01)	00765	องค์การบริหารส่วนตำบลไม้ฝาด	2026-03-17	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-20	20.04.2026 เงินเข้าแล้ว / คุณจินดา 082-8409706	AR2603-044	100	6901-01
iv_d132b392	IV2603-032	PP063-PL		2026-03-11	3240000	paid						16502025	บ้านวังขุม ม.1 ต.เขาวง อ.บ้านตาขุน จ.สุราษฎร์ธานี (6901-01)	00789	องค์การบริหารส่วนตำบลเขาวง	2026-03-11	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-20	20.04.2026 เงินเข้าแล้ว / คุณรชดา 097-9363895	AR2603-032	2	6901-01
iv_8ef53073	IV2603-030	PP067-PDH		2026-03-10	1286000	paid						17602025	ศูนย์พัฒนาเด็กเล็กบ้านบ่อมะม่วง ม.4 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)	00176	เทศบาลตำบลทรายขาว	2026-03-10	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-01	01.04.2026 เงินเข้าแล้ว	AR2603-030	100	6901-01
iv_cdeb63aa	IV2603-029	PP066-PDH		2026-03-10	1286000	paid						17402025	ท่าเรือบ้านบ่อมะม่วง ม.4 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)	00176	เทศบาลตำบลทรายขาว	2026-03-10	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-30	30.03.2026 เงินเข้าแล้ว	AR2603-029	100	6901-01
iv_b9809675	IV2603-028	PP065-PDH		2026-03-10	1286000	paid						17502025	มัสยิดบ้านห้วยลึก ม.1 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)	00176	เทศบาลตำบลทรายขาว	2026-03-10	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-07	07.04.2026 เงินเข้าแล้ว	AR2603-028	100	6901-01
iv_6090b25e	IV2603-026	TWC003-STIIS		2026-03-09	2060000	paid						17102025	บ้านปากคลองวัด ม.8 ต.บางอ้อ อ.บ้านนา จ.นครนายก (6901-01)	00907	องค์การบริหารส่วนตำบลบางอ้อ	2026-03-09	LIT	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-04-10	10.04.2026 เงินเข้าแล้ว / ผอ.กองคลัง 086-0458420	AR2603-026	1	6901-01
iv_cb759f0a	IV2603-012	TWC006-PDH		2026-03-04	1300000	paid						18402025	ม.6 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)	00798	เทศบาลตำบลสองสลึง	2026-03-04	LIT	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-26	26.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845	AR2603-012	100	6901-01
iv_5296f1e9	IV2603-011	TWC005-STIIS		2026-03-04	2060000	paid						18302025	ม.5 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)	00798	เทศบาลตำบลสองสลึง	2026-03-04	FUNDING	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-27	27.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845	AR2603-011	1	6901-01
iv_84b213e7	IV2603-010	TWC004-STIIS		2026-03-04	2060000	paid						18202025	ม.2 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)	00798	เทศบาลตำบลสองสลึง	2026-03-04	FUNDING	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-27	27.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845	AR2603-010	1	6901-01
iv_2c841f14	IV2603-058	ENC156-PLS		2026-03-30	3240000	paid						15502025	บ้านสระแก ม.7 ต.ทองหลาง อ.บ้านใหม่ไชยพจน์ จ.บุรีรัมย์ (6901-01)	00903	องค์การบริหารส่วนตำบลทองหลาง	2026-03-30	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-05-12	12.05.2026 เงินเข้าแล้ว / คุญวิทยา 0625240398	AR2603-059	2	6901-01
iv_c27dfc95	IV2602-037	PP061-PDH		2026-02-27	1100000	paid						16302025	บ้านห้วยโต้ ม.4 ต.ทับปริก อ.เมืองกระบี่ จ.กระบี่ (6901-01)	00904	องค์การบริหารส่วนตำบลทับปริก	2026-02-27	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-26	26.03.2026 เงินเข้าแล้ว / คุณณาตยา 098-2268863	AR2602-036	1	6901-01
iv_6b04ef44	IV2602-036	PP060-PL		2026-02-27	3237000	paid						15902025	บ้านเขาเฒ่า ม.3 ต.บางเตย อ.เมืองพังงา จ.พังงา (6901-01)	00514	เทศบาลตำบลบางเตย	2026-02-27	STS	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-11	11.03.2026 เงินเข้าแล้ว	AR2602-035	2	6901-01
iv_02fd3da5	IV2602-032	PP059-PL		2026-02-23	5380000	paid						15602025	บ้านช่องเอี่ยว ม.7 ต.ทุ่งหลวง อ.ละแม จ.ชุมพร (6901-01)	00810	องค์การบริหารส่วนตำบลทุ่งหลวง	2026-02-23	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-17	17.03.2026 เงินเข้าแล้ว	AR2602-031	100	6901-01
iv_27b8f6c5	IV2602-031	PP054-PDH		2026-02-23	1100000	paid						15002025	บ้านหัวป่าขลู่ ม.3 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)	00119	องค์การบริหารส่วนตำบลป่าระกำ	2026-02-23	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-19	10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864	AR2602-030	100	6901-01
iv_13b8e272	IV2602-030			2026-02-25	808500	paid										2026-02-25	Funding	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-23	23.04.2026 เงินเข้าแล้ว/ คุณฮาลีเมาะ 088-981-4953		1.2.3.	6802-01
iv_311fbfa0	IV2602-029			2026-02-25	808500	paid										2026-02-25	Funding	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-23	23.04.2026 เงินเข้าแล้ว/ คุณฮาลีเมาะ 088-981-4953		1.2.3.	6802-01
iv_f625b75d	IV2602-027	PP062-PL		2026-02-18	2160000	paid						16202025	บ้านทองหลาง ม.3 ต.บ้านนา อ.กะเปอร์ จ.ระนอง (6901-01)	00905	องค์การบริหารส่วนตำบลบ้านนา	2026-02-18	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-04-30	20.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค / คุณอีด 065-8797139	AR2602-027	1	6901-01
iv_9888657b	IV2602-024	PP056-PDH		2026-02-16	1100000	paid						15202025	บ้านในไร่ ม.5 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)	00119	องค์การบริหารส่วนตำบลป่าระกำ	2026-02-16	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-19	10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864	AR2602-024	100	6901-01
iv_42b47c8b	IV2602-023	PP055-PDH		2026-02-16	1100000	paid						15102025	บ้านป่าระกำ ม.4 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)	00119	องค์การบริหารส่วนตำบลป่าระกำ	2026-02-16	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-19	10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864	AR2602-023	100	6901-01
iv_cd76c1c3	IV2602-011	ENC160-PM		2026-02-12	1360000	paid						16702025	บ้านฮ่องกอก ม.7 ต.บ่อแฮ้ว อ.เมืองลำปาง จ.ลำปาง (6901-01)	00736	องค์การบริหารส่วนตำบลบ่อแฮ้ว	2026-02-12	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-03-05	05.03.2026 เงินเข้าแล้ว	AR2602-011	1	6901-01
iv_eb42d14e	IV2602-010	PP063-PL		2026-02-13	2160000	paid						16502025	บ้านวังขุม ม.1 ต.เขาวง อ.บ้านตาขุน จ.สุราษฎร์ธานี (6901-01)	00789	องค์การบริหารส่วนตำบลเขาวง	2026-02-13	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-30	30.03.2026 เงินเข้าแล้ว / คุณรชดา 097-9363895	AR2602-010	1	6901-01
iv_f8827314	IV2602-009	ENC155-PL		2026-02-05	3234000	paid						14702025	บ้านทุ่ง ม.2 ต.หลวงใต้ อ.งาว จ.ลำปาง (6801-01)	00682	เทศบาลตำบลหลวงใต้	2026-02-05	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-02-25	25.02.2026 เงินเข้าแล้ว / คุณวิ 086-4395331	AR2602-009	1	6801-01
iv_a717bd5a	IV2602-008	PP057-PDH		2026-02-06	1100000	paid						15302025	บ้านป่าระกำเหนือ ม.7 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)	00119	องค์การบริหารส่วนตำบลป่าระกำ	2026-02-06	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-03-19	10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864	AR2602-008	100	6901-01
iv_e7ecdd6d	IV2602-003	PP060-PL		2026-02-04	2158020	paid						15902025	บ้านเขาเฒ่า ม.3 ต.บางเตย อ.เมืองพังงา จ.พังงา (6901-01)	00514	เทศบาลตำบลบางเตย	2026-02-04	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-02-27	25.02.2026 กดอนุมัติเบิกจ่ายแล้ว รอเงินเข้า	AR2602-006	1	6901-01
iv_bdf41540	IV2602-002	PP058-PDH		2026-02-04	1300000	paid						15402025	โรงเรียนเทศบาลตำบลบางเตย ม.3 ต.บางเตย อ.เมืองพังงา จ.พังงา (6901-01)	00514	เทศบาลตำบลบางเตย	2026-02-04	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2026-02-27	25.02.2026 กดอนุมัติเบิกจ่ายแล้ว รอเงินเข้า	AR2602-005	100	6901-01
iv_05691a50	IV2602-001	AW147-PL		2026-02-02	3237000	paid						14502025	บ้านพลับ ม.4 ต.ดู่ทุ่ง อ.เมืองยโสธร จ.ยโสธร (6801-01)	00496	องค์การบริหารส่วนตำบลดู่ทุ่ง	2026-02-02	LIT	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-11	11.03.2026 เงินเข้าแล้ว / คุณเสาวนีย์ 094-9635142	AR2602-001	2	6801-01
iv_f4c4b08f	IV2601-037			2026-01-30	135000	paid						001782025	SV-855-PL-บ้านเวียงกาหลง ม.15 ต.เวียงกาหลง อ.เวียงป่าเป้า จ.เชียงราย  (SV-6801-01)	00248	เทศบาลตำบลเวียงกาหลง	2026-01-30	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2026-02-16	16.02.2026 เงินเข้าแล้ว	AR2601-039	100	SV-6801-01
iv_76437053	IV2601-036	AW141-PL		2026-01-30	3240000	paid						29202024	บ้านนาไคร้ ม.7 ต.กุดหว้า อ.กุฉินารายณ์ จ.กาฬสินธุ์ (6801-01)	00822	องค์การบริหารส่วนตำบลนาไคร้	2026-01-30	WTP	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-20	20.03.2026 เงินเข้าแล้ว / คุณหยก 0812607536	AR2601-038	2	6801-01
iv_5ef94947	IV2601-035	ENC158-PDH		2026-01-29	1100000	paid						16102025	บ้านโนนธาตุ ม.12 ต.แก อ.รัตนบุรี จ.สุรินทร์ (6901-01)	00662	องค์การบริหารส่วนตำบลแก	2026-01-29	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-03-25	25.03.2026 เงินเข้าแล้ว / คุณภาขวัญ 094-4603020	AR2601-037	100	6901-01
iv_761c9526	IV2601-034	ENC157-PDH		2026-01-29	1100000	paid						16002025	บ้านแก ม.10 ต.แก อ.รัตนบุรี จ.สุรินทร์ (6901-01)	00662	องค์การบริหารส่วนตำบลแก	2026-01-29	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2026-03-25	25.03.2026 เงินเข้าแล้ว / คุณภาขวัญ 094-4603020	AR2601-036	100	6901-01
iv_bfdc3351	IV2601-033	TWC002-PDH		2026-01-28	1100000	paid						17202025	บ้านกุดหว้า ม.13 ต.กุดหว้า อ.กุฉินารายณ์ จ.กาฬสินธุ์ (6901-01)	00822	องค์การบริหารส่วนตำบลนาไคร้	2026-01-28	WTP	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-20	20.03.2026 เงินเข้าแล้ว / คุณหยก 0812607536	AR2601-035	100	6901-01
iv_59eee533	IV2601-032	TWC001-PDH		2026-01-28	1100000	paid						17302025	บ้านห้วยแดง ม.10 ต.กุดหว้า อ.กุฉินารายณ์ จ.กาฬสินธุ์ (6901-01)	00822	องค์การบริหารส่วนตำบลนาไคร้	2026-01-28	WTP	เขต 7	5.โครงการที่รับเงินแล้วสะสม	2026-03-20	20.03.2026 เงินเข้าแล้ว / คุณหยก 0812607536	AR2601-034	100	6901-01
